country,region,market,commodity,unit,date,latitude,longitude,hh_size,food_consumption_score,coping_strategy_index,livelihood_type,assistance_received,market_distance_km,shock_occurred,shock_type,import_dependency,vulnerability_index,availability_score,transport_cost_index,seasonality_index,exchange_rate,urban_rural,market_type,price_usd,local_price,infl_adj_price
Yemen,West Africa,Market_278,Chickpeas,kg,2019-12-26 05:14:34,7.3701606065005265,42.49743657881622,8,56.752850557883896,19,Pastoral,Food,3.9367320020671523,1,Flood,0.7283728039520599,0.12397914275490562,0.7840362348351151,1.2430190942635837,0.0010541801882575363,0.5659608976196598,Urban,Retail,3.9601955687871215,176.91548750731852,4.0782627603421275
Somalia,West Africa,Market_112,Beans,kg,2019-10-15 09:05:54,9.426443459609612,35.823165505350154,5,27.27649308210183,17,Agriculture,Cash,1.5810017432257357,0,None,0.9350404857988404,0.8137704537657289,0.3442987027429772,1.3116217766236111,0.38783441273410524,0.9901608955020312,rural,retail,3.364221601896664,,3.4129031616264007
South Sudan,South Asia,Market_451,Sorghum,kg,2018-06-14 08:28:17,-5.7619155930468935,45.48298327507911,7,50.34679532465707,13,SMALL BUSINESS,Food,4.8542861513205775,0,Conflict,0.13271462523867633,0.6640992297345153,0.8952649733440854,2.6457029128334693,0.6469145532284566,1.166361750374902,Urban,Wholesale,2.4709549607800194,166.51132817823998,2.509171401596331
Yemen,West Africa,Market_331,Rice,kg,2023-01-12 09:16:46,-19.73054998600785,108.37595492085686,4,24.691459649653048,19,casual labor,Cash,2.0787188923143076,0,None,0.28937022753616704,0.5839561558460757,0.6106947705076806,2.254062991945839,0.6504029180729859,0.5548793980391462,Rural,Wholesale,2.7760063377462787,180.78700732864422,2.6853023167825936
Kenya,Middle East,Market_473,Sugar,kg,2020-10-22 08:50:35,-19.725375990102872,118.39839629960542,9,29.885658566880124,17,Small Business,None,9.407940166498348,0,,0.6146945410901002,0.876097983548828,0.502823402316207,1.0620059461936298,0.6118013705049685,0.7573730325950321,rural,Wholesale,2.7557750663113927,118.17204148768054,2.8068678738102384
Afghanistan,West Africa,Market_234,Chickpeas,kg,2020-06-18 21:22:39,1.5248007090687885,109.12927194926411,2,58.33083275232255,26,pastoral,None,10.479692146134989,0,Drought,0.10902657761412461,0.834314675295977,0.32139604624259077,1.3192837385080254,0.017307547677520962,1.3709057462546725,Rural,Retail,3.4741273132144586,,3.462417212360322
South Sudan,Middle East,Market_176,Beans,kg,2023-01-05 04:14:07,2.059435861298205,117.2703424517153,10,45.587793334108596,17,Small business,None,11.654801212558366,0,Conflict,0.14552600732873672,0.3160881173778547,0.6479954537856489,2.7548272428041547,0.8345694529596723,0.6579438704605667,rural,WHOLESALE,3.5499720122010676,173.43255301276085,3.5387298348784704
South Sudan,West Africa,Market_392,Millet,kg,2021-02-27 08:28:22,2.228777295109168,95.77261213369161,9,41.23412520750374,16,SMALL BUSINESS,,13.05951309581368,1,Conflict,0.45448485911998593,0.544801654313531,0.8306339854391602,2.1277297767539265,0.7511382388560375,0.6571563573469439,urban,WHOLESALE,3.398389964045022,148.95868068632888,3.49831031881778
Yemen,Middle East,Market_457,Wheat Flour,kg,2021-09-27 06:00:32,8.870122633215392,44.3734949836782,4,40.41623511570098,24,Agriculture,Food,0.1461577716334584,0,,0.6174413230783687,0.8592646591202517,0.45043486714496633,1.2271394617418796,0.23993064300844735,0.537937740127668,Urban,wholesale,2.5354819609564707,112.31181681579535,2.6084211472131447
Ethiopia,West Africa,Market_143,Sunflower Oil,kg,2020-12-06 03:45:44,16.85077582776546,80.68534077701403,6,51.34664721164463,4,SMALL BUSINESS,Cash,2.728347732450363,1,None,0.714450798089009,0.06479008496785743,0.5971602151136839,1.1110533441489294,0.45627517847110866,0.4316242200060241,Urban,RETAIL,4.013378321130631,269.61594759856837,4.146093817086257
Kenya,West Africa,Market_32,Vegetables,kg,2023-02-17 05:59:50,19.606808309373967,95.84364626703513,5,42.409454943648576,5,Casual Labor,None,12.238405987547312,0,Drought,0.3237077696749354,0.32857278977559135,0.34147532279969905,2.998863951418941,0.9396506945275047,0.5466004161664403,Urban,Retail,2.1308747159658723,97.47132264449978,2.0358045900721167
Yemen,Horn of Africa,Market_181,Sunflower Oil,kg,2023-07-18 17:29:21,8.042670184995156,76.21165147339181,3,38.39833490459116,39,AGRICULTURE,,0.5542838984842956,0,Flood,0.6585135855446257,0.38857983631998816,0.4078872322520095,1.5909591016488016,,0.6902457950755596,Rural,WHOLESALE,3.2468191567803846,149.58802039412197,3.19716430031171
Kenya,Middle East,Market_67,Vegetables,kg,2019-03-26 10:33:24,0.5599487049585861,79.92005106920098,7,43.54667614436043,35,Casual labor,None,10.015075175539485,0,Flood,0.4322536914651044,0.27234013821423153,0.7530215327098844,2.3201707556834883,0.7443552795344089,1.1374627471443706,Urban,retail,2.3714228331085843,119.37538038767218,2.405569630617513
